"","variableG1","MeanG1","Down","Up","Down_quarter","Up_quarter","color"
"beta[2]","turbidity",2.10985302741368,1.28774179783496,2.80396322356019,1.86695086252782,2.406459312159,"red"
"beta[3]","SST",0.502940254246219,0.386619818601155,0.607463478033467,0.466512312750213,0.540100701226301,"red"
"beta[4]","turbidity_sst_interaction",-2.13683729704843,-2.86619511314047,-1.30268472717922,-2.44217233446918,-1.87539664247154,"blue"
